pv_situacion_credito;CLASE;ENTE
3;1;226278.0
3;1;47601.0
3;1;10812270.0
3;1;258073.0
3;1;361083.0
3;1;3814846.0
3;1;188631.0
3;1;375360.0
3;1;4539396.0
3;1;570199.0
3;1;861260.0
3;1;175607.0
3;1;257073.0
3;1;3068111.0
3;1;696614.0
3;1;374537.0
3;1;184364.0
3;1;258949.0
3;1;281821.0
3;1;20260.0
3;1;763998.0
3;1;154209.0
3;1;230889.0
3;1;746114.0
3;1;1026934.0
3;1;551993.0
3;1;259813.0
3;2;5014483.0
3;1;3106492.0
3;1;198503.0
3;1;207957.0
3;1;42162.0
3;1;194522.0
3;1;89009.0
3;1;294883.0
3;1;293382.0
3;1;632486.0
3;1;96956.0
3;1;383177.0
3;1;586086.0
3;1;663007.0
3;1;811375.0
3;1;39932.0
3;1;2776811.0
3;1;293858.0
3;1;115491.0
3;1;252223.0
3;1;85394.0
3;2;526307.0
3;1;154451.0
3;1;278328.0
3;1;160889.0
3;1;2979321.0
3;1;388103.0
3;1;260839.0
3;1;3908652.0
3;1;58178.0
3;1;4517198.0
3;1;505087.0
3;1;640509.0
3;1;62104.0
3;1;59912.0
3;1;439087.0
3;1;147862.0
3;2;3742333.0
3;1;142922.0
3;1;1786672.0
3;1;1463829.0
3;1;465443.0
3;1;2942705.0
3;1;168703.0
3;1;527453.0
3;1;102066.0
3;1;759923.0
3;1;64106.0
3;1;5526195.0
3;1;503689.0
3;1;4309686.0
3;1;255895.0
3;1;248370.0
3;1;262524.0
3;1;945492.0
3;1;128769.0
3;1;300051.0
3;2;827235.0
3;1;244358.0
3;1;278177.0
3;1;160397.0
3;1;81677.0
3;1;264253.0
3;1;36730.0
3;2;550104.0
3;1;168513.0
3;1;1542176.0
3;1;377580.0
3;1;187847.0
3;1;563031.0
3;1;64972.0
3;1;579479.0
3;1;2854790.0
3;1;128988.0
3;1;703220.0
3;1;2438922.0
3;1;737342.0
3;1;73580.0
3;1;272941.0
3;1;302293.0
3;1;599607.0
3;1;298797.0
3;1;251610.0
3;1;148764.0
3;1;230670.0
3;1;649915.0
3;1;1184509.0
3;1;419349.0
3;1;559090.0
3;1;131886.0
3;1;384152.0
3;1;188212.0
3;1;296927.0
3;1;1124681.0
3;1;83891.0
3;1;351558.0
3;1;377045.0
3;1;2551184.0
3;1;2026000.0
3;1;190849.0
3;1;257015.0
3;1;345802.0
3;1;94197.0
3;1;569777.0
3;1;243075.0
3;1;593533.0
3;1;436033.0
3;1;157673.0
3;1;96547.0
3;1;563575.0
3;1;213782.0
3;1;460135.0
3;1;3933826.0
3;1;143309.0
3;1;302641.0
3;1;350034.0
3;1;205556.0
3;1;447533.0
3;1;399783.0
3;1;256445.0
3;1;256947.0
3;1;509128.0
3;1;771372.0
3;1;1874976.0
3;1;377541.0
3;1;203573.0
3;1;7062653.0
3;1;228044.0
3;1;208994.0
3;1;621179.0
3;1;89929.0
3;1;86585.0
3;1;1693184.0
3;1;761044.0
3;1;92537.0
3;1;251008.0
3;1;784307.0
3;1;172285.0
3;1;478194.0
3;1;470046.0
3;1;528014.0
3;1;80967.0
3;1;216526.0
3;1;340531.0
3;1;290840.0
3;1;286996.0
3;1;31240.0
3;1;2135912.0
3;1;284263.0
3;1;1554407.0
3;1;127683.0
3;1;972494.0
3;1;1066094.0
3;1;136046.0
3;1;474187.0
3;1;582749.0
3;1;474853.0
3;1;2544328.0
3;1;5596774.0
3;1;201874.0
3;1;2780203.0
3;1;264682.0
3;1;1731614.0
3;1;574905.0
3;1;187730.0
3;1;43056.0
3;1;693692.0
3;1;944284.0
3;1;1939657.0
3;1;286060.0
3;1;754000.0
3;1;52931.0
3;1;218229.0
3;1;794248.0
3;1;146866.0
3;1;163129.0
3;1;249906.0
3;1;7644564.0
3;1;1324194.0
3;1;255348.0
3;1;1165462.0
3;1;581665.0
3;1;86650.0
3;2;1157575.0
3;1;220396.0
3;1;358549.0
3;1;183586.0
3;1;191322.0
3;1;1499794.0
3;1;109211.0
3;1;118257.0
3;1;6907495.0
3;1;544864.0
3;1;589353.0
3;1;3257641.0
3;1;233182.0
3;1;582107.0
3;1;277156.0
3;1;258722.0
3;1;125497.0
3;1;133848.0
3;1;226019.0
3;1;1908909.0
3;1;127202.0
3;1;775114.0
3;1;96815.0
3;1;64621.0
3;1;285280.0
3;1;802151.0
3;1;554763.0
3;1;449528.0
3;1;412660.0
3;1;207196.0
3;1;40251.0
3;1;5010624.0
3;1;876205.0
3;1;91722.0
3;1;2943356.0
3;1;34253.0
3;1;369769.0
3;1;96371.0
3;1;107962.0
3;1;215373.0
3;1;189610.0
3;1;69350.0
3;1;228050.0
3;1;517489.0
3;1;118956.0
3;1;301000.0
3;1;77919.0
3;1;192244.0
3;1;361655.0
3;1;197038.0
3;1;1339473.0
3;1;183704.0
3;2;4439291.0
3;1;156035.0
3;1;283488.0
3;1;1362087.0
3;1;124378.0
3;1;3925244.0
3;1;3109493.0
3;1;216980.0
3;1;404419.0
3;1;34261.0
3;1;547488.0
3;1;3039607.0
3;1;123813.0
3;1;206308.0
3;1;243270.0
3;1;171708.0
3;1;2011961.0
3;1;372726.0
3;1;578072.0
3;1;496351.0
3;1;3965237.0
3;1;136833.0
3;1;244003.0
3;1;368716.0
3;1;237743.0
3;1;214610.0
3;1;238418.0
3;1;2376765.0
3;2;6955313.0
3;1;445850.0
3;1;54635.0
3;1;4391293.0
3;1;151805.0
3;1;147472.0
3;1;503279.0
3;1;262495.0
3;1;75177.0
3;1;995498.0
3;1;111520.0
3;1;273374.0
3;1;193990.0
3;1;143296.0
3;1;125120.0
3;1;2726388.0
3;1;1664437.0
3;1;280708.0
3;1;108545.0
3;1;240606.0
3;1;61053.0
3;1;189531.0
3;1;1594441.0
3;1;168099.0
3;1;252319.0
3;1;42000.0
3;1;181370.0
3;1;214462.0
3;1;373847.0
3;1;292807.0
3;1;2189980.0
3;1;32384.0
3;1;483769.0
3;1;1853460.0
3;1;1861279.0
3;1;245528.0
3;1;289450.0
3;1;2470303.0
3;1;502625.0
3;1;86086.0
3;1;36262.0
3;1;62614.0
3;1;202335.0
3;2;1026743.0
3;1;142206.0
3;1;245357.0
3;1;239839.0
3;1;635269.0
3;1;1729049.0
3;1;165142.0
3;1;2878041.0
3;1;757721.0
3;1;704176.0
3;1;367163.0
3;1;51982.0
3;1;303696.0
3;1;291321.0
3;1;130965.0
3;1;487822.0
3;1;141140.0
3;1;162497.0
3;1;89786.0
3;2;468030.0
3;1;124099.0
3;1;299750.0
3;1;2566891.0
3;1;68566.0
3;1;943924.0
3;1;300830.0
3;1;92773.0
3;1;272874.0
3;1;229321.0
3;1;168205.0
3;1;112012.0
3;1;262359.0
3;1;264348.0
3;1;42654.0
3;1;1429651.0
3;1;184800.0
3;1;2340075.0
3;1;468103.0
3;1;163854.0
3;1;352125.0
3;1;285566.0
3;1;421259.0
3;1;268341.0
3;1;107939.0
3;1;671247.0
3;1;6937209.0
3;1;128931.0
3;2;3253726.0
3;1;240565.0
3;1;330013.0
3;1;59294.0
3;1;218541.0
3;1;77191.0
3;1;128439.0
3;1;94915.0
3;1;1634144.0
3;1;461140.0
3;1;295166.0
3;1;481233.0
3;1;507117.0
3;1;301751.0
3;1;172931.0
3;1;1320813.0
3;1;2007775.0
3;1;217032.0
3;1;536631.0
3;1;68061.0
3;1;120538.0
3;1;277202.0
3;1;127591.0
3;1;4602707.0
3;1;120951.0
3;1;91201.0
3;1;96436.0
3;1;436096.0
3;1;268720.0
3;1;206280.0
3;1;123917.0
3;1;85979.0
3;1;89124.0
3;1;183632.0
3;1;134404.0
3;1;197669.0
3;1;797898.0
3;1;387905.0
3;1;5289391.0
3;1;2150852.0
3;1;1470745.0
3;1;2015607.0
3;1;1455787.0
3;1;86171.0
3;1;304156.0
3;1;167912.0
3;1;69326.0
3;1;1628781.0
3;1;266023.0
3;1;2398438.0
3;1;865303.0
3;1;431799.0
3;1;141854.0
3;1;488423.0
3;1;261261.0
3;1;230431.0
3;1;702375.0
3;1;338853.0
3;1;243846.0
3;1;2502446.0
3;1;578896.0
3;1;1397571.0
3;1;106731.0
3;1;77549.0
3;1;405605.0
3;1;683324.0
3;1;220375.0
3;1;67024.0
3;1;432833.0
3;1;299652.0
3;1;130249.0
3;1;381683.0
3;1;566951.0
3;1;1071637.0
3;1;46608.0
3;1;76061.0
3;1;289132.0
3;1;219075.0
3;1;10524124.0
3;2;6473429.0
3;1;133039.0
3;1;303677.0
3;1;410951.0
3;1;197204.0
3;2;115786.0
3;1;162428.0
3;1;263671.0
3;1;228442.0
3;1;97477.0
3;1;91988.0
3;1;141697.0
3;1;90449.0
3;1;433677.0
3;1;173021.0
3;1;479846.0
3;1;296968.0
3;1;269860.0
3;1;97720.0
3;1;39128.0
3;1;2116563.0
3;1;215398.0
3;1;1555174.0
3;1;497261.0
3;1;620366.0
3;1;234620.0
3;1;256481.0
3;1;47396.0
3;1;273588.0
3;1;264564.0
3;1;596585.0
3;1;575783.0
3;1;249523.0
3;1;150814.0
3;1;94472.0
3;2;6987855.0
3;1;224482.0
3;1;212514.0
3;1;561016.0
3;1;589685.0
3;1;824909.0
3;1;208049.0
3;1;287402.0
3;1;1680303.0
3;1;286747.0
3;1;169368.0
3;1;561565.0
3;1;164736.0
3;1;373406.0
3;1;624766.0
3;1;62902.0
3;1;121326.0
3;1;762488.0
3;1;28258.0
3;1;351086.0
3;1;203072.0
3;1;58167.0
3;1;1497462.0
3;1;113843.0
3;1;1050095.0
3;1;296289.0
3;1;1077759.0
3;1;97279.0
3;1;2990438.0
3;1;734695.0
3;1;268202.0
3;1;636296.0
3;1;163457.0
3;1;180719.0
3;1;72832.0
3;1;244843.0
3;1;468802.0
3;1;150025.0
3;1;226902.0
3;1;193766.0
3;1;89991.0
3;1;63657.0
3;1;191338.0
3;1;2309660.0
3;1;738692.0
3;1;184267.0
3;1;1411335.0
3;1;4723838.0
3;1;1131229.0
3;1;1378310.0
3;1;593211.0
3;1;738938.0
3;1;1794829.0
3;2;659031.0
3;1;289523.0
3;1;389579.0
3;1;1460493.0
3;1;683520.0
3;1;382116.0
3;1;531938.0
3;1;291493.0
3;1;164057.0
3;1;151100.0
3;1;103677.0
3;1;1399730.0
3;1;209181.0
3;1;1484141.0
3;1;679667.0
3;1;641538.0
3;1;474156.0
3;1;285751.0
3;2;4341726.0
3;1;284076.0
3;1;4015109.0
3;1;63706.0
3;1;835439.0
3;1;221519.0
3;1;214500.0
3;1;3775145.0
3;1;32977.0
3;1;129722.0
3;1;79871.0
3;1;488198.0
3;1;672203.0
3;1;84322.0
3;1;220057.0
3;1;39204.0
3;1;544121.0
3;1;368922.0
3;1;301698.0
3;1;293154.0
3;1;1468008.0
3;1;2111904.0
3;1;291903.0
3;1;265383.0
3;1;129642.0
3;1;629748.0
3;1;695353.0
3;1;280160.0
3;2;2935955.0
3;1;105925.0
3;1;2369427.0
3;1;120682.0
3;1;295814.0
3;1;3283113.0
3;1;4298825.0
3;1;1972607.0
3;1;176950.0
3;1;175925.0
3;1;46716.0
3;1;208392.0
3;1;54639.0
3;1;260657.0
3;2;2345819.0
3;1;218580.0
3;1;1694226.0
3;1;109830.0
3;1;265306.0
3;1;288818.0
3;1;255117.0
3;1;295645.0
3;1;2019128.0
3;1;57634.0
3;1;289798.0
3;1;1280385.0
3;1;3802481.0
3;1;212124.0
3;1;286171.0
3;1;835689.0
3;1;152344.0
3;1;377824.0
3;1;1496206.0
3;1;432672.0
3;1;155380.0
3;1;446869.0
3;1;335483.0
3;1;40256.0
3;1;165400.0
3;1;346057.0
3;1;795983.0
3;1;214957.0
3;1;2905240.0
3;1;602332.0
3;1;3326253.0
3;1;207387.0
3;1;90518.0
3;1;503271.0
3;1;73418.0
3;1;1127311.0
3;1;1233100.0
3;1;62343.0
3;2;2272785.0
3;1;1282842.0
3;1;302325.0
3;1;280927.0
3;1;2124104.0
3;1;86520.0
3;1;222558.0
3;2;433182.0
3;1;101693.0
3;1;348363.0
3;1;583292.0
3;1;167746.0
3;1;650614.0
3;1;245728.0
3;1;190119.0
3;1;718634.0
3;1;501741.0
3;1;295267.0
3;1;127216.0
3;1;104579.0
3;1;11674152.0
3;1;508434.0
3;1;593542.0
3;1;106448.0
3;1;75153.0
3;1;538828.0
3;1;2948409.0
3;1;503895.0
3;1;119753.0
3;1;141943.0
3;1;270659.0
3;1;1712108.0
3;1;366470.0
3;1;358153.0
3;1;532149.0
3;1;10634511.0
3;1;4867413.0
3;1;2799808.0
3;1;774733.0
3;1;68650.0
3;1;62923.0
3;2;1710988.0
3;1;226500.0
3;1;411015.0
3;1;250793.0
3;1;217633.0
3;1;1372588.0
3;1;274361.0
3;1;2184497.0
3;1;260421.0
3;1;508042.0
3;1;65092.0
3;2;917057.0
3;1;2894424.0
3;1;247234.0
3;1;74144.0
3;1;488352.0
3;1;2379426.0
3;1;253338.0
3;1;59845.0
3;1;140022.0
3;1;3196135.0
3;1;2149407.0
3;1;55060.0
3;1;94379.0
3;1;475415.0
3;1;211177.0
3;1;280403.0
3;1;3260723.0
3;1;207647.0
